timestamp,car,truck,bike,auto,ambulance,total
2026-04-03 02:38:31,N,14,13,1,0,0,28
2026-04-03 02:38:32,N,17,14,0,0,0,31
2026-04-03 02:38:33,N,14,10,1,0,0,25
2026-04-03 02:38:34,N,13,14,0,0,0,27
2026-04-03 02:38:35,N,11,14,1,0,0,26
2026-04-03 02:38:36,N,12,16,2,0,0,30
2026-04-03 02:38:38,N,15,12,1,0,0,28
2026-04-03 02:38:40,N,15,8,3,0,0,26
2026-04-03 02:38:42,N,15,11,0,0,0,26
2026-04-03 02:38:43,N,15,12,3,0,0,30
2026-04-03 02:38:44,N,14,10,0,0,0,24
2026-04-03 02:38:45,N,12,16,0,0,0,28
2026-04-03 02:38:46,N,16,13,2,0,0,31
2026-04-03 02:38:49,N,13,15,1,0,0,29
2026-04-03 02:38:50,N,12,13,2,0,0,27
2026-04-03 02:38:51,N,17,12,1,0,0,30
2026-04-03 02:38:52,N,16,15,1,0,0,32
2026-04-03 02:38:53,N,18,16,1,0,0,35
2026-04-03 02:38:54,N,15,16,2,0,0,33
2026-04-03 02:38:55,N,14,11,0,0,0,25
2026-04-03 02:38:56,N,13,12,1,0,0,26
2026-04-03 02:38:57,N,14,9,0,0,0,23
2026-04-03 02:38:58,N,13,10,1,0,0,24
2026-04-03 02:38:59,N,18,7,3,0,0,28
2026-04-03 02:39:01,N,13,9,1,0,0,23
2026-04-03 02:39:02,N,13,9,2,0,0,24
2026-04-03 02:39:03,N,15,8,1,0,0,24
2026-04-03 02:39:04,N,13,10,2,0,0,25
2026-04-03 02:39:05,N,15,5,4,0,0,24
2026-04-03 02:39:06,N,16,6,1,0,0,23
2026-04-03 02:39:07,N,17,6,0,0,0,23
2026-04-03 02:39:08,N,13,10,1,0,0,24
2026-04-03 02:39:09,N,14,8,3,0,0,25
2026-04-03 02:39:10,N,14,12,3,0,0,29
2026-04-03 02:39:11,N,11,11,2,0,0,24
2026-04-03 02:39:12,N,11,9,2,0,0,22
2026-04-03 02:39:13,N,13,9,0,0,0,22
2026-04-03 02:39:14,N,12,9,0,0,0,21
2026-04-03 02:39:15,N,10,7,0,0,0,17
2026-04-03 02:39:16,N,14,11,0,0,0,25
2026-04-03 02:39:17,N,8,10,0,0,0,18
2026-04-03 02:39:18,N,10,7,0,0,0,17
2026-04-03 02:39:20,N,8,9,1,0,0,18
2026-04-03 02:39:20,N,10,10,1,0,0,21
2026-04-03 02:39:21,N,11,12,2,0,0,25
2026-04-03 02:39:22,N,15,10,2,0,0,27
2026-04-03 02:39:24,N,13,12,3,0,0,28
2026-04-03 02:39:24,N,12,13,3,0,0,28
2026-04-03 02:39:24,N,9,12,4,0,0,25
2026-04-03 02:39:25,N,14,8,1,0,0,23
2026-04-03 02:39:26,N,14,8,2,0,0,24
2026-04-03 02:39:27,N,13,11,3,0,0,27
2026-04-03 02:39:28,N,15,7,1,0,0,23
2026-04-03 02:39:29,N,15,8,1,0,0,24
2026-04-03 02:39:30,N,15,12,1,0,0,28
